u,i,r,t
6,9145,1.0,1314576000
6,10273,5.0,1228176000
6,9545,5.0,968630400
6,269,3.0,1362355200
6,275,4.0,1163721600
6,1894,5.0,1158278400
6,7198,3.0,1366761600
6,711,1.0,1103673600
6,6238,5.0,1149120000
6,891,5.0,1232323200
6,2568,4.0,1267660800
6,2148,2.0,1309219200
6,7787,4.0,1099612800
6,429,5.0,1369612800
6,2688,5.0,1325376000
6,202,4.0,1375574400
6,7173,4.0,1278633600
6,1951,3.0,1366156800
6,4501,1.0,1226188800
6,922,4.0,1331510400
6,6658,4.0,1277337600
6,1381,5.0,1164499200
6,19,5.0,1184457600
6,2214,1.0,1261785600
6,3959,5.0,1283817600
6,5291,4.0,1161561600
6,2304,5.0,1238198400
6,1280,3.0,1200441600
6,278,4.0,1363392000
6,1737,1.0,1170720000
6,826,5.0,1033084800
6,8761,5.0,1250208000
140,14,5.0,1135814400
140,3400,4.0,1072396800
140,1552,5.0,995587200
140,5597,5.0,1001376000
140,8093,5.0,1009411200
140,9860,5.0,995414400
140,217,4.0,1178236800
140,1846,4.0,1145145600
140,5545,5.0,991872000
140,2878,5.0,1278460800
140,2180,5.0,970963200
140,7103,4.0,1053475200
140,4652,5.0,1070409600
140,3629,5.0,1075334400
140,6951,5.0,1190851200
140,3437,3.0,1277251200
140,5267,4.0,1072137600
140,537,4.0,974592000
140,2560,3.0,1096588800
140,4601,4.0,1088035200
140,1377,3.0,1127001600
140,10242,5.0,973468800
140,4499,4.0,1117065600
140,1564,5.0,1026777600
140,1800,5.0,1113264000
140,3759,3.0,1097712000
140,5170,4.0,1190419200
140,4132,4.0,994204800
140,1004,5.0,991699200
140,408,4.0,1118966400
140,5155,4.0,1075593600
140,714,5.0,1117497600
1048,922,3.0,1397865600
1048,53,1.0,1161216000
1048,1318,4.0,1161216000
1048,7447,4.0,1267488000
1048,5760,1.0,1390435200
1048,23,3.0,1271721600
1048,1993,3.0,1368144000
1048,7720,5.0,1231632000
1048,6045,3.0,1377993600
1048,7013,4.0,1377388800
1048,1780,3.0,1264809600
1048,3142,1.0,1362700800
1048,2519,4.0,1268870400
1048,10293,3.0,1374883200
1048,6611,2.0,1337040000
1048,33,5.0,1247875200
1048,5265,3.0,1368748800
1048,2016,5.0,1393718400
1048,402,3.0,1281139200
1048,1425,4.0,1396310400
1048,249,4.0,1235174400
1048,1218,2.0,1372550400
1048,13,2.0,1254009600
1048,1352,4.0,1231632000
1048,1122,1.0,1245542400
1048,6482,5.0,1267056000
1048,1193,4.0,1404518400
1048,2335,3.0,1364774400
1048,21,5.0,1271289600
1048,5604,4.0,1351468800
1048,6156,1.0,1378512000
1048,1984,4.0,1250380800
233,5513,4.0,1171670400
233,1580,5.0,1266796800
233,0,5.0,1037318400
233,2053,5.0,1262131200
233,5442,4.0,1131235200
233,6467,5.0,1269388800
233,6760,4.0,1184803200
233,536,5.0,1248652800
233,766,5.0,1099872000
233,6070,5.0,1296950400
233,1394,2.0,1124755200
233,2220,5.0,1365984000
233,925,5.0,1295568000
233,220,5.0,1045958400
233,7597,3.0,1201046400
233,273,5.0,1153612800
233,6585,5.0,1219276800
233,14,5.0,1128729600
233,36,4.0,1354233600
233,4035,5.0,1106352000
233,7008,5.0,1133308800
233,9824,5.0,1190246400
233,5984,5.0,1042761600
233,1436,3.0,1183852800
233,838,5.0,1221091200
233,1490,5.0,1159056000
233,7887,4.0,1315526400
233,561,5.0,1055030400
233,8714,5.0,1118448000
233,1527,5.0,1212451200
233,5401,5.0,1111190400
233,6491,5.0,1092960000
125,1346,4.0,1142467200
125,2376,4.0,1040342400
125,2849,2.0,1296259200
125,1379,4.0,1330041600
125,659,4.0,1015977600
125,3890,5.0,1198627200
125,393,2.0,1074902400
125,426,5.0,1170892800
125,1677,3.0,1195862400
125,658,4.0,1159056000
125,3686,4.0,1313107200
125,720,3.0,1092096000
125,1368,4.0,1013212800
125,715,3.0,1050192000
125,27,5.0,1134432000
125,167,5.0,1163808000
125,41,4.0,1204502400
125,819,4.0,1044748800
125,248,4.0,1093219200
125,5270,5.0,1074470400
125,162,4.0,1044748800
125,855,4.0,1041724800
125,5430,4.0,1106524800
125,431,3.0,1200182400
125,2117,2.0,1158364800
125,570,4.0,1071619200
125,1242,5.0,1050796800
125,3144,5.0,1201651200
125,4034,4.0,1021161600
125,1319,5.0,1021075200
125,2058,4.0,1113782400
125,5022,3.0,1169596800
192,977,5.0,1005523200
192,640,5.0,987724800
192,683,5.0,1385510400
192,3593,5.0,1083456000
192,1289,3.0,1033948800
192,776,4.0,1005177600
192,3375,5.0,1025740800
192,607,5.0,1404345600
192,601,5.0,1043280000
192,1497,4.0,1385683200
192,8761,5.0,1317340800
192,537,4.0,1036195200
192,3787,5.0,1044057600
192,664,4.0,1039305600
192,4291,4.0,1378771200
192,1534,5.0,1379030400
192,3753,4.0,1072569600
192,3721,5.0,1026432000
192,1520,5.0,1403395200
192,8258,5.0,986342400
192,91,4.0,1345334400
192,1005,3.0,1325721600
192,3385,4.0,1358553600
192,8160,5.0,1087171200
192,5051,3.0,1400889600
192,6852,5.0,1388188800
192,372,3.0,987638400
192,7128,5.0,1378425600
192,3968,4.0,1382227200
192,1180,5.0,985478400
192,7148,4.0,1171324800
192,3525,5.0,1396137600
249,1000,5.0,1276387200
249,10026,4.0,1113177600
249,3943,5.0,1004400000
249,423,5.0,1108166400
249,891,5.0,1107907200
249,5285,5.0,1152921600
249,1851,1.0,1268956800
249,9724,5.0,1020124800
249,1524,5.0,1252281600
249,8459,3.0,1094083200
249,615,5.0,1102377600
249,3838,5.0,1004313600
249,3254,5.0,1062460800
249,796,5.0,1099008000
249,1440,5.0,1025136000
249,2535,4.0,1313193600
249,2142,5.0,1391212800
249,4174,3.0,1349481600
249,1283,5.0,997056000
249,5896,5.0,1339804800
249,232,5.0,1011225600
249,5720,3.0,1262476800
249,2487,3.0,1249344000
249,2945,4.0,1388620800
249,13,3.0,1246665600
249,138,4.0,1300492800
249,2684,3.0,1293235200
249,7601,5.0,1172966400
249,885,3.0,1057449600
249,570,2.0,1209254400
249,606,5.0,1107216000
249,5635,5.0,1178409600
212,366,3.0,1176595200
212,7020,3.0,1067904000
212,310,2.0,1287187200
212,8551,3.0,1303344000
212,3322,5.0,1072310400
212,4350,2.0,1119571200
212,1586,5.0,1141862400
212,5688,5.0,1198972800
212,2240,4.0,1206230400
212,311,2.0,1170460800
212,6604,5.0,1153008000
212,0,5.0,1040860800
212,38,2.0,1175904000
212,448,5.0,1058227200
212,252,2.0,1123977600
212,167,4.0,1198540800
212,3119,4.0,1073174400
212,9650,2.0,1261526400
212,39,4.0,1068940800
212,8193,2.0,1186790400
212,4515,4.0,1187395200
212,329,5.0,1203897600
212,6287,3.0,1189382400
212,2608,4.0,1261267200
212,1941,4.0,1086393600
212,62,4.0,1372550400
50,1165,4.0,1151625600
50,2898,2.0,1099612800
50,427,4.0,1214524800
50,767,4.0,1195171200
50,265,4.0,1031961600
50,1834,5.0,1122076800
50,186,2.0,1148083200
50,4435,2.0,984182400
50,1862,3.0,1067126400
50,787,2.0,1175299200
50,270,4.0,1137196800
50,2476,3.0,1094774400
50,89,3.0,1086912000
50,3855,3.0,1000512000
50,1654,5.0,1032566400
50,2125,5.0,981158400
50,1650,4.0,1067472000
50,108,5.0,1118448000
50,4425,2.0,1008288000
50,1184,3.0,1157673600
50,598,4.0,1204848000
50,148,5.0,1117843200
50,3415,4.0,1036022400
50,125,4.0,1041379200
50,1296,3.0,991699200
50,401,3.0,1038009600
50,595,3.0,985392000
50,8105,4.0,971481600
50,936,5.0,1243555200
50,24,4.0,1023148800
50,75,4.0,1166227200
50,1722,4.0,1147046400
55,10116,5.0,1017187200
55,205,5.0,1006732800
55,2025,5.0,1046476800
55,4315,5.0,1077148800
55,106,4.0,1071014400
55,1368,4.0,1067990400
55,1827,5.0,1081382400
55,1177,5.0,1073520000
55,5402,5.0,1073347200
55,671,5.0,1089244800
55,9992,4.0,1065398400
55,3600,3.0,1096329600
55,2485,5.0,1058745600
55,89,4.0,1086048000
55,1081,4.0,1115164800
55,9425,5.0,1078876800
55,808,4.0,1009411200
55,235,3.0,1073606400
55,763,5.0,1065139200
55,448,5.0,1057449600
55,757,5.0,1054425600
55,1636,3.0,1057449600
55,9193,4.0,1063238400
55,314,5.0,1078876800
55,173,5.0,997747200
55,86,3.0,1061769600
55,6030,4.0,1011744000
55,9363,3.0,1058832000
55,7653,4.0,1067040000
55,9108,4.0,1086048000
55,0,5.0,1028937600
55,3984,5.0,1077753600
41,4990,3.0,1132617600
41,760,5.0,1173139200
41,2432,4.0,1167955200
41,3447,5.0,1125014400
41,100,5.0,1183420800
41,29,5.0,1100390400
41,303,5.0,1071187200
41,3410,5.0,1080950400
41,220,5.0,1023840000
41,681,4.0,1182816000
41,13,5.0,1122940800
41,97,5.0,1008892800
41,16,5.0,1116547200
41,431,5.0,1196121600
41,27,5.0,1135382400
41,503,5.0,1104278400
41,6137,5.0,1000512000
41,213,5.0,1322611200
41,984,5.0,1117152000
41,91,5.0,1121731200
41,3813,5.0,1131321600
41,39,5.0,1068854400
41,62,5.0,1356134400
41,9864,4.0,1147651200
41,30,5.0,1211846400
41,1623,5.0,1105228800
41,423,5.0,1148428800
41,85,5.0,1215043200
41,0,5.0,1011916800
41,23,5.0,1104019200
41,3451,5.0,1058486400
41,733,4.0,1217894400
190,7079,4.0,1026518400
190,1322,5.0,1026432000
190,390,5.0,1031184000
190,950,5.0,1039046400
190,5048,3.0,1034985600
190,1833,4.0,1133136000
190,1065,3.0,1127260800
190,7283,4.0,1113782400
190,869,5.0,1027987200
190,1799,4.0,1023667200
190,328,5.0,1119052800
190,4379,4.0,1121299200
190,9954,4.0,1035331200
190,4414,4.0,1119657600
190,4601,4.0,1148601600
190,245,5.0,1038009600
